,anime_id,title,type,source,episodes,airing,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,studio,genre
12030,31439,Wagamama High Spec,TV,Visual novel,12,False,"Apr 12, 2016 to Jun 28, 2016",3 min. per ep.,PG-13 - Teens 13 or older,5.46,9467,8444.0,2357,25118,39,Spring 2016,Tuesdays at 01:10 (JST),Hobi Animation,AXsiZ,"Comedy, School"
12032,34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,TV,Light novel,6,False,"Oct 7, 2017 to Nov 11, 2017",24 min. per ep.,PG-13 - Teens 13 or older,7.66,6360,1211.0,2564,21544,81,Fall 2017,Fridays at 01:55 (JST),"Dentsu, Mainichi Broadcasting System, Pony Canyon, Movic, KlockWorx, Kadokawa",Studio Gokumi,"Slice of Life, Drama, Magic, Fantasy"
12042,35838,Shoujo Shuumatsu Ryokou,TV,Web manga,12,False,"Oct 6, 2017 to Dec 22, 2017",23 min. per ep.,PG-13 - Teens 13 or older,8.19,38899,328.0,757,114576,1563,Fall 2017,Fridays at 21:30 (JST),"AT-X, Shinchosha, Kadokawa Media House, Kadokawa",White Fox,"Adventure, Mystery, Sci-Fi, Slice of Life"
12050,8812,Alice SOS,TV,Original,28,False,"Apr 6, 1998 to Jan 28, 1999",19 min. per ep.,G - All Ages,6.14,113,6955.0,8270,998,1,Spring 1998,Unknown,NHK,J.C.Staff,Adventure
12059,1675,Transformers Micron Densetsu,TV,Unknown,52,False,"Jan 10, 2003 to Dec 26, 2003",24 min. per ep.,PG-13 - Teens 13 or older,6.8,3347,4341.0,4562,5922,29,Winter 2003,Unknown,Hasbro,Actas,"Action, Mecha, Sci-Fi, Shounen"
12060,3869,Sakura Momoko Gekijou: Coji-Coji,TV,Unknown,100,False,"Oct 4, 1997 to Sep 25, 1999",25 min. per ep.,G - All Ages,6.59,41,11937.0,10821,246,0,Fall 1997,Saturdays at 17:30 (JST),Aniplex,Nippon Animation,"Fantasy, Comedy"
12064,20009,Doubutsu Mura Monogatari,TV,Unknown,100,False,"Mar 30, 1970 to Jul 21, 1970",5 min. per ep.,PG - Children,6.38,16,10020.0,11942,150,0,Spring 1970,Unknown,Otogi Production,Eiken,Kids
12065,32664,Bananya,TV,Original,13,False,"Jul 4, 2016 to Sep 26, 2016",3 min. per ep.,G - All Ages,6.79,15982,4349.0,1945,34653,183,Summer 2016,Mondays at 20:55 (JST),"TMS Entertainment, DAX Production",Gathering,"Slice of Life, Comedy, Kids"
12068,961,Virtua Fighter,TV,Game,35,False,"Oct 9, 1995 to Jun 27, 1996",25 min. per ep.,PG-13 - Teens 13 or older,7.13,2437,3114.0,4829,5131,14,Fall 1995,Mondays at 18:30 (JST),"Aniplex, TMS Entertainment, Yomiko Advertising, Sega, Half H.P Studio, TV Tokyo Music, Sony Music Entertainment",Tokyo Movie Shinsha,"Action, Adventure, Martial Arts, Comedy, Shounen"
12070,34156,PePePePengiin,TV,Original,13,False,"Oct 2, 2016 to Dec 25, 2016",2 min. per ep.,PG - Children,5.26,35,11746.0,10433,307,1,Fall 2016,Sundays at 22:48 (JST),"TV Osaka, Sanrio, Being",DLE,Comedy
